tipo,bairro,area,quartos,banheiros,vagas,condominio,preco
Condomínio,Engenheiro Luciano Cavalcante,200,3,4,4,1150.0,1300000.0
Condomínio,Lagoa Redonda,96,3,3,2,650.0,365000.0
Condomínio,Jangurussu,67,2,2,1,333.0,220000.0
Condomínio,Passaré,68,2,2,1,150.0,260000.0
Condomínio,Lagoa Redonda,134,3,4,2,800.0,550000.0
Condomínio,Lagoa Redonda,90,3,3,2,600.0,450000.0
Condomínio,Edson Queiroz,186,4,5,5,1500.0,925000.0
Condomínio,José de Alencar,266,4,5,4,1800.0,1990000.0
Condomínio,Cidade dos Funcionários,180,3,3,2,1250.0,598000.0
Condomínio,Passaré,50,2,3,2,380.0,230000.0
Condomínio,Vila União,106,3,2,2,530.0,525000.0
Condomínio,Sapiranga,115,3,3,1,575.0,320000.0
Condomínio,Alphaville Fortaleza,500,4,6,4,1250.0,6000000.0
Condomínio,Passaré,102,3,3,2,620.0,398999.0
Condomínio,Engenheiro Luciano Cavalcante,317,4,6,4,727.0,1450000.0
Condomínio,José de Alencar,242,5,6,6,1550.0,1650000.0
Condomínio,Passaré,93,2,1,2,200.0,200000.0
Condomínio,Passaré,71,3,3,2,500.0,284000.0
Condomínio,Maraponga,86,3,3,2,0.0,543000.0
Condomínio,Lagoa Redonda,208,3,0,3,0.0,935000.0
Condomínio,Conjunto Esperança,140,3,2,2,0.0,550000.0
Condomínio,Sapiranga,213,3,4,3,0.0,990000.0
Condomínio,Edson Queiroz,140,4,4,3,900.0,550000.0
Condomínio,Praia do Futuro II,218,4,5,4,1085.0,1663000.0
Condomínio,Sapiranga,104,3,2,2,600.0,310000.0
Condomínio,Dunas,4,4,0,1,0.0,3500000.0
Condomínio,Edson Queiroz,181,3,4,3,1550.0,1050000.0
Condomínio,Engenheiro Luciano Cavalcante,127,4,4,3,730.0,540000.0
Condomínio,Passaré,53,3,2,2,280.0,317013.0
Condomínio,Alphaville Fortaleza,803,4,6,10,2400.0,13900000.0
Condomínio,Sapiranga,145,3,4,2,943.0,750000.0
Condomínio,Praia do Futuro,185,4,4,2,1130.0,1460000.0
Condomínio,José de Alencar,167,3,4,2,600.0,550000.0
Condomínio,Cidade dos Funcionários,188,3,5,3,1180.0,1150000.0
Condomínio,Passaré,132,3,3,3,785.0,490000.0
Condomínio,José de Alencar,170,4,5,3,950.0,800000.0
Condomínio,Messejana,131,3,4,3,1050.0,630000.0
Condomínio,Cambeba,520,5,5,8,0.0,1100000.0
Condomínio,Alphaville Fortaleza,369,4,6,4,1250.0,3490000.0
Condomínio,Messejana,200,3,2,1,100.0,350000.0
Condomínio,Alphaville Fortaleza,496,4,7,6,1400.0,3490000.0
Condomínio,Sapiranga,190,4,4,4,100.0,620000.0
Condomínio,Edson Queiroz,220,4,5,3,200.0,435000.0
Condomínio,Sapiranga,150,4,0,4,600.0,580000.0
Condomínio,Sapiranga,134,3,4,4,0.0,685000.0
Condomínio,Lagoa Redonda,186,3,4,3,1323.0,900000.0
Condomínio,São Gerardo,235,4,5,3,1176.0,999000.0
Condomínio,Lagoa Sapiranga (Coité),188,4,5,4,80.0,620000.0
Condomínio,Sapiranga,507,4,4,5,0.0,1300000.0
Condomínio,Parque Iracema,167,3,4,2,1300.0,599000.0
Condomínio,Cidade dos Funcionários,205,3,4,3,1312.0,1150000.0
Condomínio,Alphaville Fortaleza,950,6,0,8,1350.0,11000000.0
Condomínio,Sapiranga,162,4,4,1,1300.0,680000.0
Condomínio,José de Alencar,135,3,4,2,1186.0,750000.0
Condomínio,Passaré,170,2,2,1,355.0,560000.0
Condomínio,Jardim Cearense,94,3,3,2,460.0,419999.0
Condomínio,Sapiranga,125,3,4,2,0.0,720000.0
Condomínio,Vicente Pinzon,604,4,5,5,2000.0,6000000.0
Condomínio,Lagoa Redonda,84,3,3,2,0.0,349000.0
Condomínio,Passaré,53,3,2,2,0.0,317013.0
Condomínio,Alphaville Fortaleza,500,4,5,4,1300.0,5000000.0
Condomínio,Engenheiro Luciano Cavalcante,176,5,5,2,1050.0,700000.0
Condomínio,José de Alencar,186,3,4,3,1270.0,895000.0
Condomínio,Parque Manibura,320,4,4,6,0.0,1200000.0
Condomínio,José de Alencar,125,3,4,2,0.0,580000.0
Condomínio,São Bento,244,4,5,4,0.0,790000.0
Condomínio,de Lourdes,278,4,5,5,0.0,3800000.0
Condomínio,Parque Iracema,186,4,4,2,300.0,650000.0
Condomínio,Eusébio,150,3,3,4,0.0,399900.0
Condomínio,Cajazeiras,406,6,3,3,50.0,600000.0
Condomínio,São Bento,200,3,3,2,0.0,365000.0
Condomínio,Sabiaguaba,165,4,5,3,1050.0,795000.0
Condomínio,Lagoa Redonda,96,3,3,2,570.0,365000.0
Condomínio,Barroso,76,2,3,1,380.0,290000.0
Condomínio,Sapiranga,176,5,5,3,950.0,560000.0
Condomínio,Siqueira,54,2,2,1,200.0,230000.0
Condomínio,Papicu,230,3,2,2,0.0,450000.0
Condomínio,Engenheiro Luciano Cavalcante,126,5,5,2,1050.0,670000.0
Condomínio,Prefeito José Walter,79,3,3,2,0.0,329000.0
Condomínio,Alphaville Fortaleza,510,5,7,4,1400.0,4990000.0
Condomínio,Edson Queiroz,123,3,4,3,0.0,599900.0
Condomínio,Presidente Kennedy,240,4,5,5,1100.0,1600000.0
Condomínio,Passaré,86,3,2,2,200.0,350000.0
Condomínio,Presidente Kennedy,235,3,5,4,1200.0,1300000.0
Condomínio,Maraponga,233,4,5,2,0.0,1900000.0
Condomínio,Praia do Futuro II,141,3,4,2,685.0,1017131.0
Condomínio,Cambeba,228,3,5,4,214.0,800000.0
Condomínio,Passaré,63,2,1,2,193.0,275000.0
Condomínio,Prefeito José Walter,2,2,0,3,0.0,299500.0
Condomínio,Dunas,117,3,4,2,802.0,999740.0
Condomínio,Sapiranga,144,3,4,2,1008.0,749900.0
Condomínio,Passaré,81,3,2,2,650.0,500000.0
Condomínio,Alphaville Fortaleza,500,5,6,4,1350.0,5900000.0
Condomínio,Alphaville Fortaleza,500,4,7,4,950.0,3490000.0
Condomínio,Cidade dos Funcionários,178,3,5,5,1012.0,1100000.0
Condomínio,Lagoa Redonda,84,3,2,2,340.0,369000.0
Condomínio,Lagoa Redonda,126,3,0,3,525.0,370000.0
Condomínio,Sapiranga,254,4,5,3,1550.0,1100000.0
Condomínio,Lagoa Redonda,2,2,0,3,460.0,300000.0
Condomínio,Sabiaguaba,229,3,5,4,0.0,1349300.0
Condomínio,Passaré,90,3,2,2,400.0,399000.0
Condomínio,Montenegro I,0,0,0,0,0.0,269096.0
Condomínio,Parque Manibura,120,3,4,3,1100.0,550000.0
Condomínio,São Bento,134,3,4,3,0.0,695000.0
Condomínio,Mondubim,90,4,2,2,210.0,250000.0
Condomínio,Maraponga,150,4,4,2,50.0,590000.0
Condomínio,Eusébio,600,0,0,0,1200.0,8500000.0
Condomínio,Maraponga,86,3,3,2,10.0,545000.0
Condomínio,Maraponga,130,3,4,3,650.0,775000.0
Condomínio,Praia do Futuro I,185,3,4,3,1129.0,1663727.0
Condomínio,Passaré,78,2,1,1,214.0,200000.0
Condomínio,Dunas,117,3,3,2,685.0,999740.0
Condomínio,Jangurussu,67,2,2,1,0.0,220000.0
Condomínio,Praia do Futuro I,140,3,4,2,0.0,1017000.0
Condomínio,Edson Queiroz,200,4,4,4,1900.0,1100000.0
Condomínio,Maraponga,86,3,3,2,0.0,560000.0
Condomínio,de Lourdes,380,5,5,4,2350.0,2700000.0
Condomínio,Passaré,59,2,3,2,366.0,280000.0
Condomínio,Mondubim,150,4,4,1,0.0,590000.0
Condomínio,Lagoa Redonda,96,3,4,2,522.0,365000.0
Condomínio,Engenheiro Luciano Cavalcante,250,4,4,2,1150.0,1600000.0
Condomínio,Presidente Kennedy,300,4,4,2,1100.0,1400000.0
Condomínio,Maraponga,209,4,4,3,600.0,1450000.0
Condomínio,Maraponga,240,4,6,2,700.0,1950000.0
Condomínio,de Lourdes,3,3,0,5,3900.0,4500000.0
Condomínio,Sapiranga,186,3,4,4,50.0,1158286.0
Condomínio,Sapiranga,150,3,4,2,0.0,820000.0
Condomínio,Prefeito José Walter,60,2,2,2,280.0,255000.0
Condomínio,Alphaville Fortaleza,502,5,7,4,1350.0,3790000.0
Condomínio,Cambeba,360,3,4,5,2212.0,1790000.0
